sutra_ref	sutra_id	final_form	dhatu_root	dhatu_meaning	gana	wiki_target	chain
4.1.72	41072	कमण्डलूः	प्रथम	से इव - अर्थ			कमण्डलूः। कमण्डलु+कन्। कमण्डलु+०। कमण्डलु+ऊङ्। कमण्डलु+सु। कमण्डलुः।
4.1.73	41073	शार्ङ्गरवी	प्रथम	‘शृङ्गरु			शार्ङ्गरवी। शृङ्गरु+अण्। शार्ङ्गरो+अ। शार्ङ्गरव् + ङीन्। शार्ङ्गरवी + सु। शार्ङ्गरवी।
4.1.73	41073	बैदी	प्रथम	से गोत्रापत्य अर्थ			बैदी। बिद+अञ्। वैद+ङीन्। बैदी+सु। बैदी।
4.1.74	41074	आम्बष्ठ्या	आम्बष्ठ	शब्द			आम्बष्ठ्या। आम्बष्ठ+ज्यङ्। आम्बष्ठ्य+चाम्। आम्बष्ठ्या+सु। आम्बष्ठ्या।
4.1.74	41074	कारीषगन्ध्या	प्रथम	गन्धस्येद०			कारीषगन्ध्या। करीष+गन्ध। करीषगन्धि। करीषगन्धि+अण्। कारीषगन्ध+ष्यङ्। कारीषगन्ध्य+चाम्। कारीषगन्ध्या+सु। कारीषगन्ध्या। ﻿
4.1.74	41074	वाराह्या	प्रथम	वराह			वाराह्या। वराह+ इज्। वाराहि। वाराह+व्यङ्। वाराह्य+चाप्। वाराह्या+सु। वाराह्या।
4.1.78	41078	करीषगन्ध्या	करीषगन्धि	शब्द ऋषिवाची नहीं. अत: अनार्ष है, इससे गोत्रापत्य अर्थ			करीषगन्ध्या। करीष+गन्ध। करीषगन्धि+अण्। करीषगन्ध+अ। कारीषगन्ध+प्यड्। कारीषगन्ध्य्+चाप्। कारीषगन्ध्या+सु। कारीषगन्ध्या॥
4.1.78	41078	वाराहा	अनार्ष	गुरूपोत्तम वाराहि			वाराहा। वराह+इन्। वाराह-इ। वाराह+प्यङ्। वाराह्य+चाप्। वाराह्या+सु। वाराया।
4.1.81	41081	दैवयज्ञया	प्रथम	देवयज्ञ			दैवयज्ञया। देवयज्ञ+इञ्। दैवयज्ञि। दैवयज्ञि+ष्यङ्। दैवयज्ञय+चाम्। दैवयज्ञया+सु। दैवयज्ञया।
4.1.81	41081	दैवयज्ञी	विकल्प	पक्ष			दैवयज्ञी। दैवयज्ञि+ङीष्। देवयज्ञ+ई। दैवयज्ञी+सु। दैवयज्ञी।
4.1.85	41085	दैत्यः	दिति	शब्द			दैत्यः। दिति+ण्य। दैत्+य। दैत्य+सु। दैत्यः।
4.1.85	41085	आदित्य	हलो	यमा यमि लोप:			आदित्य:। आदित्य+ण्य। आदित्य:। पूर्ववत्।
4.1.87	41087	स्त्रैणम्	स्त्री	प्रादिपदिक			स्त्रैणम्। स्त्री+नञ्। स्त्रै+न। स्त्रैण+सु। स्त्रैणम्।
4.1.87	41087	पोस्नम्	संयोगान्तस्य	लोपः			पोस्नम्। पुंस्+स्नञ्। पौं+स्न। पौंस्न+सु। पौंस्नम्।
4.1.88	41088	पञ्चकपालः	तद्धितार्थोत्तरपदसमाहारे	च			पञ्चकपालः। पञ्चकपाल+अण्। पञ्चकपाल+०। पञ्चकपाल+सु। पञ्चकपालः।
4.1.88	41088	द्विवेद	तवधीते	तद् वेद			द्विवेद:। द्विवेद:+अण्। द्विवेद+०। द्विवेद:+सु। द्विवेदः।
4.1.89	41089	गार्गीया	प्रथम	गर्ग			गार्गीया:। गर्ग+यञ्। गाये। गाये+छ:। गार्दा+ईय। गार्गीय+जस् गार्गीयाः।
4.1.89	41089	आत्रेयीया	अत्रि	शब्द			आत्रेयीया:। अत्रि+ढक्। आत्-एय। आत्रेय। आत्रेय+छ। आत्रेय्+ईय। आत्रेयीय+जस्। आत्रेयीयाः। ﻿
